text,label
Saya sangat senang dengan pelayanan ini!,Positif
Produk ini sangat buruk dan mengecewakan.,Negatif
Layanan cepat dan ramah membuat saya puas.,Positif
Pengiriman terlambat dan barang rusak.,Negatif
Saya suka kualitas produk yang saya terima.,Positif
Tidak akan beli lagi karena pengalaman buruk.,Negatif
Harga terjangkau dengan kualitas bagus.,Positif
Customer service tidak membantu sama sekali.,Negatif
Makanannya enak dan porsinya banyak.,Positif
Tempatnya kotor dan tidak nyaman.,Negatif
Sangat direkomendasikan untuk semua orang.,Positif
Saya kecewa dengan produk yang diterima.,Negatif
Pengalaman belanja online yang menyenangkan.,Positif
Barang tidak sesuai dengan deskripsi.,Negatif
Pelayanan cepat dan responsif.,Positif
Saya merasa tertipu dengan produk ini.,Negatif
Kualitas bahan sangat baik dan tahan lama.,Positif
Warna produk berbeda dari gambar.,Negatif
Proses pengembalian barang mudah dan cepat.,Positif
Produk tiba dalam kondisi rusak.,Negatif
Sangat puas dengan pembelian kali ini.,Positif
Tidak puas dengan kualitas produk.,Negatif
Pengemasannya rapi dan aman.,Positif
Pelayanan toko lambat dan tidak ramah.,Negatif
Mudah digunakan dan fungsional.,Positif
Tidak sesuai harapan dan mengecewakan.,Negatif
Saya suka desainnya yang modern.,Positif
Barang palsu dan tidak asli.,Negatif
Pengalaman belanja yang sangat memuaskan.,Positif
Produk cacat dan tidak bisa digunakan.,Negatif
Harga sesuai dengan kualitas.,Positif
Saya menyesal membeli produk ini.,Negatif
Pengiriman cepat dan tepat waktu.,Positif
Sangat buruk dan tidak profesional.,Negatif
Sangat mudah dalam proses pembayaran.,Positif
Terlalu mahal untuk kualitas ini.,Negatif
Makanan enak dan tempatnya bersih.,Positif
Pelayanan lambat dan tidak menyenangkan.,Negatif
Produk sangat membantu kegiatan saya.,Positif
Kualitas sangat buruk dan cepat rusak.,Negatif
Saya puas dengan fitur yang disediakan.,Positif
Barang tidak berfungsi dengan baik.,Negatif
Sangat menyenangkan belanja di sini.,Positif
Sangat kecewa dan tidak akan beli lagi.,Negatif
Pengemasan sangat rapi dan aman.,Positif
Barang sampai terlambat dan rusak.,Negatif
Sangat puas dengan layanan pelanggan.,Positif
Tidak ada respon dari pihak penjual.,Negatif
Produk sangat sesuai dengan deskripsi.,Positif
Barang yang diterima tidak sesuai.,Negatif
Harga bersaing dan kualitas bagus.,Positif
Sangat tidak puas dengan produk ini.,Negatif
Mudah dalam proses pengembalian barang.,Positif
Pelayanan tidak ramah dan lambat.,Negatif
Saya suka dengan pelayanan cepatnya.,Positif
Barang cacat dan kualitas buruk.,Negatif
Sangat puas dengan pembelian ini.,Positif
Tidak sesuai dengan yang diiklankan.,Negatif
Produk berkualitas dan awet.,Positif
Barang tidak berfungsi dan mengecewakan.,Negatif
Pengalaman belanja online yang memuaskan.,Positif
Sangat kecewa dengan pelayanan toko.,Negatif
Pelayanan cepat dan mudah.,Positif
Saya menyesal membeli di sini.,Negatif
Kualitas produk sangat baik.,Positif
Barang yang saya terima rusak.,Negatif
Sangat merekomendasikan toko ini.,Positif
Pengiriman lambat dan tidak jelas.,Negatif
Harga terjangkau dan kualitas oke.,Positif
Produk palsu dan tidak asli.,Negatif
Mudah berkomunikasi dengan penjual.,Positif
Pelayanan buruk dan tidak memuaskan.,Negatif
Produk sesuai dengan yang saya harapkan.,Positif
Sangat kecewa dengan barang ini.,Negatif
Saya suka desain dan kualitasnya.,Positif
Barang rusak dan tidak bisa dipakai.,Negatif
Pengalaman belanja yang luar biasa.,Positif
Tidak akan beli lagi karena buruk.,Negatif
Pelayanan ramah dan cepat.,Positif
Produk tidak sesuai deskripsi.,Negatif
Sangat puas dengan produk ini.,Positif
Barang cacat dan mengecewakan.,Negatif
Pengiriman cepat dan tepat waktu.,Positif
Pelayanan sangat buruk dan lambat.,Negatif
Produk berkualitas dan sesuai harapan.,Positif
Saya menyesal membeli produk ini.,Negatif
Mudah dan nyaman berbelanja di sini.,Positif
Barang sampai terlambat dan rusak.,Negatif
Sangat puas dengan layanan pelanggan.,Positif
Tidak ada respon dari penjual.,Negatif
Harga sesuai dengan kualitas produk.,Positif
Barang tidak sesuai dengan gambar.,Negatif
Produk sangat membantu saya.,Positif
Sangat kecewa dengan kualitasnya.,Negatif
